year,province,track,score,rank
2025,吉林省,history,31,29620
2025,吉林省,history,30,29620
2025,吉林省,history,29,29621
2025,吉林省,history,28,29622
2025,吉林省,history,27,29622
2025,吉林省,history,26,29622
2025,吉林省,history,25,29623
2025,吉林省,history,24,29625
2025,吉林省,history,23,29626
2025,吉林省,history,22,29626
2025,吉林省,history,21,29626
2025,吉林省,history,20,29626
2025,吉林省,history,19,29626
2025,吉林省,history,18,29626
2025,吉林省,history,17,29626
2025,吉林省,history,16,29627
2025,吉林省,history,15,29628
2025,吉林省,history,14,29630
2025,吉林省,history,13,29631
2025,吉林省,history,12,29633
2025,吉林省,history,11,29635
2025,吉林省,history,10,29635
2025,吉林省,history,9,29635
2025,吉林省,history,8,29635
2025,吉林省,history,7,29636
2025,吉林省,history,6,29637
2025,吉林省,history,5,29637
2025,吉林省,history,4,29638
2025,吉林省,history,3,29639
2025,吉林省,history,2,29639
2025,吉林省,history,1,29639
2025,吉林省,history,0,31071
