year,province,track,score,rank
2025,吉林省,physics,105,79054
2025,吉林省,physics,104,79054
2025,吉林省,physics,103,79054
2025,吉林省,physics,102,79054
2025,吉林省,physics,101,79055
2025,吉林省,physics,100,79057
2025,吉林省,physics,99,79057
2025,吉林省,physics,98,79058
2025,吉林省,physics,97,79062
2025,吉林省,physics,96,79062
2025,吉林省,physics,95,79062
2025,吉林省,physics,94,79063
2025,吉林省,physics,93,79063
2025,吉林省,physics,92,79065
2025,吉林省,physics,91,79065
2025,吉林省,physics,90,79065
2025,吉林省,physics,89,79065
2025,吉林省,physics,88,79065
2025,吉林省,physics,87,79067
2025,吉林省,physics,86,79067
2025,吉林省,physics,85,79067
2025,吉林省,physics,84,79067
2025,吉林省,physics,83,79067
2025,吉林省,physics,82,79067
2025,吉林省,physics,81,79068
2025,吉林省,physics,80,79069
2025,吉林省,physics,79,79069
2025,吉林省,physics,78,79069
2025,吉林省,physics,77,79070
2025,吉林省,physics,76,79070
2025,吉林省,physics,75,79071
2025,吉林省,physics,74,79071
2025,吉林省,physics,73,79072
2025,吉林省,physics,72,79072
2025,吉林省,physics,71,79072
2025,吉林省,physics,70,79072
2025,吉林省,physics,69,79072
2025,吉林省,physics,68,79073
2025,吉林省,physics,67,79073
2025,吉林省,physics,66,79073
2025,吉林省,physics,65,79073
2025,吉林省,physics,64,79074
2025,吉林省,physics,63,79075
2025,吉林省,physics,62,79076
2025,吉林省,physics,61,79077
2025,吉林省,physics,60,79079
2025,吉林省,physics,59,79081
2025,吉林省,physics,58,79081
2025,吉林省,physics,57,79081
2025,吉林省,physics,56,79081
2025,吉林省,physics,55,79082
2025,吉林省,physics,54,79083
2025,吉林省,physics,53,79083
2025,吉林省,physics,52,79084
2025,吉林省,physics,51,79085
2025,吉林省,physics,50,79086
2025,吉林省,physics,49,79087
2025,吉林省,physics,48,79087
2025,吉林省,physics,47,79087
2025,吉林省,physics,46,79087
2025,吉林省,physics,45,79087
2025,吉林省,physics,44,79087
2025,吉林省,physics,43,79087
2025,吉林省,physics,42,79087
2025,吉林省,physics,41,79087
2025,吉林省,physics,40,79089
2025,吉林省,physics,39,79090
2025,吉林省,physics,38,79090
2025,吉林省,physics,37,79090
2025,吉林省,physics,36,79091
2025,吉林省,physics,35,79091
2025,吉林省,physics,34,79091
2025,吉林省,physics,33,79091
2025,吉林省,physics,32,79091
2025,吉林省,physics,31,79091
2025,吉林省,physics,30,79091
2025,吉林省,physics,29,79091
2025,吉林省,physics,28,79091
2025,吉林省,physics,27,79091
2025,吉林省,physics,26,79091
2025,吉林省,physics,25,79092
2025,吉林省,physics,24,79092
2025,吉林省,physics,23,79093
2025,吉林省,physics,22,79094
2025,吉林省,physics,21,79094
2025,吉林省,physics,20,79094
2025,吉林省,physics,19,79094
2025,吉林省,physics,18,79094
2025,吉林省,physics,17,79095
2025,吉林省,physics,16,79095
2025,吉林省,physics,15,79095
2025,吉林省,physics,14,79095
2025,吉林省,physics,13,79095
2025,吉林省,physics,12,79095
2025,吉林省,physics,11,79095
2025,吉林省,physics,10,79095
2025,吉林省,physics,9,79096
2025,吉林省,physics,8,79096
2025,吉林省,physics,7,79097
2025,吉林省,physics,6,79097
2025,吉林省,physics,5,79097
2025,吉林省,physics,4,79097
2025,吉林省,physics,3,79098
2025,吉林省,physics,2,79098
2025,吉林省,physics,1,79098
2025,吉林省,physics,0,80421
